id,class_id,author_id,content,created_at
1,1,5,Assignment deadline has been extended by 2 days.,2026-03-07 14:15:06
2,3,7,No class on Friday due to university holiday.,2026-04-22 15:11:01
3,18,6,Please review the lecture notes before the next session.,2026-05-11 11:16:45
4,12,2,Results for Quiz 1 have been posted. Check your submissions.,2026-03-11 17:54:31
5,18,6,No class on Friday due to university holiday.,2026-03-04 05:50:06
6,14,4,No class on Friday due to university holiday.,2026-02-21 14:55:15
7,2,2,Extra help session available Wednesday at 3 PM.,2026-01-26 06:47:35
8,12,2,Please review the lecture notes before the next session.,2026-02-02 02:59:17
9,12,2,Mid-term exam schedule has been posted on the portal.,2026-03-04 15:27:48
10,8,5,Assignment deadline has been extended by 2 days.,2026-03-14 20:15:22
11,12,2,The lab session will be held in Computer Lab 2 this week.,2026-04-04 04:17:02
12,14,4,Results for Quiz 1 have been posted. Check your submissions.,2026-03-03 06:46:36
13,5,4,Mid-term exam schedule has been posted on the portal.,2026-04-16 02:13:50
14,6,8,No class on Friday due to university holiday.,2026-01-18 00:29:43
15,14,4,Please review the lecture notes before the next session.,2026-01-24 06:29:26
16,6,8,Please submit your group project proposals by end of week.,2026-02-13 06:24:48
17,14,4,Mid-term exam schedule has been posted on the portal.,2026-01-27 15:51:22
18,9,6,No class on Friday due to university holiday.,2026-04-17 13:24:54
19,4,4,"Office hours are cancelled this week, rescheduled to Monday.",2026-04-28 19:08:37
20,2,2,Reminder: attendance below 75% will result in grade deduction.,2026-04-23 22:22:46
21,8,5,Mid-term exam schedule has been posted on the portal.,2026-01-13 16:41:22
22,15,4,Please submit your group project proposals by end of week.,2026-04-29 08:09:33
23,10,2,Mid-term exam schedule has been posted on the portal.,2026-03-10 18:26:48
24,8,5,Please review the lecture notes before the next session.,2026-01-20 03:37:16
25,7,1,"Office hours are cancelled this week, rescheduled to Monday.",2026-03-17 15:20:13
26,11,5,Extra help session available Wednesday at 3 PM.,2026-03-30 07:37:05
27,3,7,Extra help session available Wednesday at 3 PM.,2026-03-15 05:05:14
28,12,2,The lab session will be held in Computer Lab 2 this week.,2026-03-08 08:13:44
29,13,5,The lab session will be held in Computer Lab 2 this week.,2026-01-19 20:03:03
30,11,5,Please review the lecture notes before the next session.,2026-02-15 01:13:03
31,4,4,Extra help session available Wednesday at 3 PM.,2026-01-29 11:55:42
32,6,8,Results for Quiz 1 have been posted. Check your submissions.,2026-02-17 14:27:55
33,9,6,Please review the lecture notes before the next session.,2026-04-30 17:40:55
34,4,4,Results for Quiz 1 have been posted. Check your submissions.,2026-03-13 12:50:29
35,14,4,Please submit your group project proposals by end of week.,2026-01-17 01:38:09
36,11,5,"Office hours are cancelled this week, rescheduled to Monday.",2026-03-31 05:11:40
37,20,4,The lab session will be held in Computer Lab 2 this week.,2026-04-20 19:34:47
38,4,4,"Office hours are cancelled this week, rescheduled to Monday.",2026-04-09 22:07:15
39,19,2,Mid-term exam schedule has been posted on the portal.,2026-02-20 08:49:04
40,9,6,Please review the lecture notes before the next session.,2026-01-15 05:15:42
41,14,4,Please review the lecture notes before the next session.,2026-03-04 04:47:29
42,17,8,The lab session will be held in Computer Lab 2 this week.,2026-02-09 21:31:33
43,7,1,Please submit your group project proposals by end of week.,2026-04-25 22:30:06
44,14,4,Assignment deadline has been extended by 2 days.,2026-01-27 08:40:14
45,11,5,Results for Quiz 1 have been posted. Check your submissions.,2026-05-08 19:02:54
46,11,5,Assignment deadline has been extended by 2 days.,2026-04-02 08:50:51
47,10,2,The lab session will be held in Computer Lab 2 this week.,2026-02-01 06:58:22
48,10,2,"Office hours are cancelled this week, rescheduled to Monday.",2026-05-07 00:58:24
49,11,5,"Office hours are cancelled this week, rescheduled to Monday.",2026-02-18 01:39:25
50,10,2,The lab session will be held in Computer Lab 2 this week.,2026-04-09 09:21:20
51,5,4,Mid-term exam schedule has been posted on the portal.,2026-03-05 02:41:34
52,14,4,"Office hours are cancelled this week, rescheduled to Monday.",2026-03-13 06:22:52
53,6,8,Results for Quiz 1 have been posted. Check your submissions.,2026-03-12 00:21:39
54,19,2,Extra help session available Wednesday at 3 PM.,2026-03-10 03:17:26
55,13,5,The lab session will be held in Computer Lab 2 this week.,2026-01-31 03:43:44
56,1,5,Extra help session available Wednesday at 3 PM.,2026-02-05 17:58:16
57,10,2,Mid-term exam schedule has been posted on the portal.,2026-03-27 11:42:08
58,14,4,Results for Quiz 1 have been posted. Check your submissions.,2026-04-14 08:44:27
59,20,4,Please submit your group project proposals by end of week.,2026-01-30 03:58:33
60,15,4,Reminder: attendance below 75% will result in grade deduction.,2026-01-22 01:11:44
61,15,4,Mid-term exam schedule has been posted on the portal.,2026-04-17 13:47:12
62,17,8,Reminder: attendance below 75% will result in grade deduction.,2026-04-27 12:29:08
63,6,8,Assignment deadline has been extended by 2 days.,2026-02-23 21:52:21
64,10,2,The lab session will be held in Computer Lab 2 this week.,2026-04-19 09:42:53
65,20,4,Please submit your group project proposals by end of week.,2026-02-15 01:33:27
66,3,7,Mid-term exam schedule has been posted on the portal.,2026-01-13 20:49:09
67,10,2,Mid-term exam schedule has been posted on the portal.,2026-04-11 21:37:45
68,7,1,No class on Friday due to university holiday.,2026-04-25 11:01:32
69,1,5,Please review the lecture notes before the next session.,2026-03-25 02:53:23
70,8,5,Reminder: attendance below 75% will result in grade deduction.,2026-04-03 20:33:58
71,20,4,Assignment deadline has been extended by 2 days.,2026-04-28 20:09:57
72,15,4,"Office hours are cancelled this week, rescheduled to Monday.",2026-03-08 21:23:21
73,19,2,Mid-term exam schedule has been posted on the portal.,2026-03-13 11:45:35
74,13,5,Reminder: attendance below 75% will result in grade deduction.,2026-02-23 00:09:32
75,13,5,Mid-term exam schedule has been posted on the portal.,2026-04-16 09:09:37
76,5,4,Please review the lecture notes before the next session.,2026-02-28 10:54:07
77,4,4,"Office hours are cancelled this week, rescheduled to Monday.",2026-05-07 01:33:18
78,8,5,No class on Friday due to university holiday.,2026-04-29 08:50:35
79,17,8,Reminder: attendance below 75% will result in grade deduction.,2026-05-12 21:30:13
80,2,2,The lab session will be held in Computer Lab 2 this week.,2026-02-11 14:42:59
